UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
11,1823741,0.8034578705994582,0,0.1031624135944281,0.8632239339296632,1.168160266187008,12.0,9.0,22.0,8.0,4.0,15.0,"2010, 2013, 2014, 2016",2017,Rondônia,Estado,srag,incidência
12,842290,0.95350343389258,0,0.6859388585244239,1.7838846870466507,3.0533631355503266,24.0,5.0,49.0,6.0,3.0,16.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Acre,Estado,srag,incidência
13,4124033,0.11937778088497883,0,0.042170739138666515,0.16585073569734246,0.21219261631620712,12.0,4.0,25.0,12.0,6.0,13.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Amazonas,Estado,srag,incidência
14,530879,0.4736149444029674,0,0.4145945220636688,0.5939640540632207,0.8017567380148702,26.0,13.0,50.0,6.0,3.0,10.0,"2012, 2013, 2014, 2015, 2016",2017,Roraima,Estado,srag,incidência
15,8457229,0.2562303726865608,0,0.08386487655536651,0.4668784802188313,0.8597266887922367,12.0,10.0,18.0,10.0,5.0,13.0,"2012, 2014, 2015, 2016",2017,Pará,Estado,srag,incidência
16,812961,0.2625078140185983,1,0.061503565361684026,0.4662208750348447,0.6205603709995879,,,,,,,"2010, 2011, 2012, 2013, 2015, 2016",2017,Amapá,Estado,srag,incidência
17,1567016,0.20922911734076013,0,0.1650562829064684,0.2208422700414936,0.2811686742882218,19.0,13.0,45.0,8.0,5.0,17.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Tocantins,Estado,srag,incidência
21,7043339,0.07085619429608671,1,0.007098905788859518,0.07260808100483462,0.09351483898365508,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,srag,incidência
22,3224536,0.1519921558508976,0,0.144561326743349,0.2367406306831788,0.3624809283416617,11.0,3.0,12.0,9.0,6.0,11.0,"2011, 2012, 2013, 2014, 2015",2017,Piauí,Estado,srag,incidência
23,9075744,0.11554311513132008,0,0.039755610752563966,0.1614896810158748,0.20550729019019376,13.0,2.0,46.0,12.0,6.0,15.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Ceará,Estado,srag,incidência
24,3538218,0.327408764917594,0,0.15486872721357872,0.4714921402495058,0.7474295528225966,11.0,1.0,20.0,8.0,1.0,10.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,srag,incidência
25,4050662,0.04357888508005417,1,0.01234366135708188,0.04937464542832752,0.07406196814249127,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Paraíba,Estado,srag,incidência
26,9534634,0.5569065634693446,0,0.3565701393651405,0.6666471199145333,0.7977093872000215,15.0,13.0,40.0,10.0,1.0,12.0,"2013, 2014, 2015, 2016",2017,Pernambuco,Estado,srag,incidência
27,3391142,0.0579769774411278,1,0.014744295579483252,0.07696941091236087,0.09920137101233296,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,srag,incidência
28,2309961,0.045829584969611765,1,0.02164538708662181,0.08658154834648724,0.12987232251973085,,,,,,,"2010, 2012, 2013, 2015",2017,Sergipe,Estado,srag,incidência
29,15408073,0.10685065555677108,0,0.03801907946786795,0.10843975111385896,0.15738391562177614,15.0,7.0,29.0,12.0,9.0,16.0,"2010, 2012, 2013, 2014, 2015",2017,Bahia,Estado,srag,incidência
31,21235870,0.5417300135585366,0,0.4012034375863609,1.0989903039670168,1.4829984011051474,18.0,13.0,26.0,11.0,7.0,13.0,"2011, 2012, 2013, 2014, 2015, 2016",2017,Minas Gerais,Estado,srag,incidência
32,4058079,0.12832653599202476,0,0.06648591537958894,0.17067135478104456,0.21814062568976644,21.0,11.0,26.0,12.0,3.0,18.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Espírito Santo,Estado,srag,incidência
33,16798421,0.16169587224740462,0,0.07163517969623936,0.18595457678487773,0.2573933730785277,17.0,11.0,21.0,13.0,7.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,srag,incidência
35,45429330,0.4142735948194401,0,0.15838713560085524,0.4326323944871363,0.5332294658758193,13.0,9.0,23.0,14.0,12.0,17.0,"2010, 2012, 2014, 2015",2017,São Paulo,Estado,srag,incidência
41,11396262,1.504802994162497,0,0.5708721922548157,2.155632672939616,3.1327975598424604,18.0,9.0,24.0,13.0,9.0,16.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Paraná,Estado,srag,incidência
42,7090682,0.9779156337318682,0,0.4085295878989643,1.7458337072731185,2.658914836419629,18.0,13.0,22.0,14.0,5.0,18.0,"2010, 2013, 2014, 2015, 2016",2017,Santa Catarina,Estado,srag,incidência
43,11356804,1.360354583888564,0,0.3951453565781424,1.8089921035731718,2.574219087394665,20.0,14.0,24.0,12.0,10.0,16.0,"2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Sul,Estado,srag,incidência
50,2743142,0.7843236494042239,0,0.4643669196902476,1.4606335588467794,2.2360636926797253,22.0,19.0,23.0,11.0,8.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,srag,incidência
51,3382487,0.15663914821240008,0,0.07358417319599778,0.23065675293030494,0.3047910099138942,16.0,7.0,22.0,11.0,7.0,13.0,"2010, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,srag,incidência
52,6860047,0.3493575640597507,0,0.16854849465689284,0.3547142622255828,0.4568499012333981,16.0,9.0,35.0,9.0,6.0,11.0,"2010, 2012, 2013, 2014, 2015",2017,Goiás,Estado,srag,incidência
53,3101220,0.593151447937717,0,0.2488623721419772,0.725978285894778,1.1946286516809128,12.0,9.0,33.0,11.0,7.0,13.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Distrito Federal,Estado,srag,incidência
BR,209186802,0.39056056306364334,0,0.19340779839463326,0.5675603047191915,0.7849292909534326,17.0,9.0,22.0,12.0,10.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Brasil,País,srag,incidência
CO,16086896,0.3378434288662072,0,0.16385272446043447,0.3695351108769229,0.4777848022917893,16.0,9.0,24.0,12.0,7.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Região Centro-oeste,Região,srag,incidência
