dataset_id,territory_id,epiyear,season_level
1,0,2016,4
2,0,2016,4
3,0,2016,4
1,0,2017,2
2,0,2017,4
3,0,2017,2
1,0,2018,4
2,0,2018,4
3,0,2018,3
1,0,2009,4
2,0,2009,4
3,0,2009,4
1,0,2010,2
2,0,2010,3
3,0,2010,2
1,0,2011,1
2,0,2011,2
3,0,2011,1
1,0,2012,3
2,0,2012,4
3,0,2012,3
1,0,2013,4
2,0,2013,4
3,0,2013,4
1,0,2014,2
2,0,2014,2
3,0,2014,2
1,0,2015,2
2,0,2015,2
3,0,2015,2
1,1,2016,3
2,1,2016,4
3,1,2016,3
1,1,2017,2
2,1,2017,4
3,1,2017,2
1,1,2018,2
2,1,2018,4
3,1,2018,3
1,1,2009,4
2,1,2009,4
3,1,2009,3
1,1,2010,3
2,1,2010,4
3,1,2010,3
1,1,2011,1
2,1,2011,2
3,1,2011,1
1,1,2012,1
2,1,2012,3
3,1,2012,2
1,1,2013,2
2,1,2013,4
3,1,2013,2
1,1,2014,2
2,1,2014,3
3,1,2014,2
1,1,2015,2
2,1,2015,2
3,1,2015,2
1,2,2016,4
2,2,2016,4
3,2,2016,4
1,2,2017,2
2,2,2017,4
3,2,2017,3
1,2,2018,4
2,2,2018,3
3,2,2018,4
1,2,2009,4
2,2,2009,4
3,2,2009,4
1,2,2010,2
2,2,2010,4
3,2,2010,3
1,2,2011,1
2,2,2011,2
3,2,2011,2
1,2,2012,1
2,2,2012,3
3,2,2012,2
1,2,2013,2
2,2,2013,4
3,2,2013,3
1,2,2014,2
2,2,2014,2
3,2,2014,2
1,2,2015,2
2,2,2015,2
3,2,2015,2
1,3,2016,4
2,3,2016,4
3,3,2016,4
1,3,2017,2
2,3,2017,4
3,3,2017,2
1,3,2018,4
2,3,2018,4
3,3,2018,4
1,3,2009,4
2,3,2009,4
3,3,2009,4
1,3,2010,2
2,3,2010,1
3,3,2010,1
1,3,2011,1
2,3,2011,1
3,3,2011,1
1,3,2012,2
2,3,2012,4
3,3,2012,3
1,3,2013,4
2,3,2013,4
3,3,2013,4
1,3,2014,2
2,3,2014,3
3,3,2014,2
1,3,2015,2
2,3,2015,3
3,3,2015,2
1,4,2016,4
2,4,2016,4
3,4,2016,4
1,4,2017,2
2,4,2017,4
3,4,2017,4
1,4,2018,2
2,4,2018,4
3,4,2018,2
1,4,2009,4
2,4,2009,4
3,4,2009,4
1,4,2010,2
2,4,2010,2
3,4,2010,2
1,4,2011,2
2,4,2011,3
3,4,2011,2
1,4,2012,4
2,4,2012,4
3,4,2012,4
1,4,2013,2
2,4,2013,4
3,4,2013,4
1,4,2014,2
2,4,2014,3
3,4,2014,2
1,4,2015,2
2,4,2015,2
3,4,2015,2
1,5,2016,4
2,5,2016,4
3,5,2016,4
1,5,2017,4
2,5,2017,3
3,5,2017,3
1,5,2018,3
2,5,2018,4
3,5,2018,4
1,5,2009,4
2,5,2009,4
3,5,2009,4
1,5,2010,2
2,5,2010,2
3,5,2010,2
1,5,2011,1
2,5,2011,1
3,5,2011,2
1,5,2012,2
2,5,2012,3
3,5,2012,2
1,5,2013,3
2,5,2013,3
3,5,2013,3
1,5,2014,3
2,5,2014,3
3,5,2014,3
1,5,2015,2
2,5,2015,2
3,5,2015,2
1,11,2016,3
2,11,2016,3
3,11,2016,2
1,11,2017,2
2,11,2017,2
3,11,2017,2
1,11,2018,2
2,11,2018,2
3,11,2018,1
1,11,2009,3
2,11,2009,4
3,11,2009,2
1,11,2010,3
2,11,2010,3
3,11,2010,2
1,11,2011,1
2,11,2011,2
3,11,2011,2
1,11,2012,1
2,11,2012,2
3,11,2012,2
1,11,2013,2
2,11,2013,3
3,11,2013,2
1,11,2014,2
2,11,2014,3
3,11,2014,2
1,11,2015,2
2,11,2015,2
3,11,2015,2
1,12,2016,3
2,12,2016,4
3,12,2016,3
1,12,2017,2
2,12,2017,3
3,12,2017,3
1,12,2018,2
2,12,2018,2
3,12,2018,2
1,12,2009,4
2,12,2009,4
3,12,2009,3
1,12,2010,1
2,12,2010,2
3,12,2010,1
1,12,2011,2
2,12,2011,2
3,12,2011,2
1,12,2012,1
2,12,2012,2
3,12,2012,1
1,12,2013,2
2,12,2013,2
3,12,2013,2
1,12,2014,2
2,12,2014,2
3,12,2014,1
1,12,2015,2
2,12,2015,2
3,12,2015,2
1,13,2016,4
2,13,2016,3
3,13,2016,3
1,13,2017,4
2,13,2017,3
3,13,2017,3
1,13,2018,3
2,13,2018,3
3,13,2018,1
1,13,2009,4
2,13,2009,4
3,13,2009,4
1,13,2010,4
2,13,2010,4
3,13,2010,3
1,13,2011,1
2,13,2011,1
3,13,2011,1
1,13,2012,2
2,13,2012,2
3,13,2012,2
1,13,2013,2
2,13,2013,2
3,13,2013,2
1,13,2014,3
2,13,2014,2
3,13,2014,3
1,13,2015,2
2,13,2015,2
3,13,2015,2
1,14,2016,2
2,14,2016,2
3,14,2016,2
1,14,2017,3
2,14,2017,1
3,14,2017,1
1,14,2018,1
2,14,2018,1
3,14,2018,1
1,14,2009,4
2,14,2009,3
3,14,2009,2
1,14,2010,1
2,14,2010,1
3,14,2010,1
1,14,2011,1
2,14,2011,1
3,14,2011,1
1,14,2012,1
2,14,2012,2
3,14,2012,1
1,14,2013,3
2,14,2013,3
3,14,2013,2
1,14,2014,4
2,14,2014,1
3,14,2014,1
1,14,2015,1
2,14,2015,1
3,14,2015,1
1,15,2016,4
2,15,2016,4
3,15,2016,3
1,15,2017,2
2,15,2017,2
3,15,2017,2
1,15,2018,3
2,15,2018,2
3,15,2018,2
1,15,2009,4
2,15,2009,4
3,15,2009,2
1,15,2010,4
2,15,2010,4
3,15,2010,3
1,15,2011,1
2,15,2011,1
3,15,2011,1
1,15,2012,2
2,15,2012,2
3,15,2012,2
1,15,2013,4
2,15,2013,3
3,15,2013,3
1,15,2014,2
2,15,2014,2
3,15,2014,2
1,15,2015,2
2,15,2015,2
3,15,2015,2
1,16,2016,3
2,16,2016,3
3,16,2016,3
1,16,2017,2
2,16,2017,2
3,16,2017,2
1,16,2018,2
2,16,2018,2
3,16,2018,1
1,16,2009,3
2,16,2009,3
3,16,2009,1
1,16,2010,3
2,16,2010,2
3,16,2010,2
1,16,2011,2
2,16,2011,1
3,16,2011,1
1,16,2012,2
2,16,2012,2
3,16,2012,1
1,16,2013,2
2,16,2013,2
3,16,2013,2
1,16,2014,1
2,16,2014,1
3,16,2014,1
1,16,2015,2
